Tarih      Saat      Enlem(N)  Boylam(E) Derinlik(km)  MD   ML   Mw    Yer                                             Çözüm Niteliği
2022.10.14 19:50:57  36.8203   30.4122       11.6      -.-  1.3  -.-   CITDIBI-KONYAALTI (ANTALYA)                       İlksel
2022.10.14 19:49:03  40.8165   33.0078       15.6      -.-  2.1  -.-   SUSUZ-ATKARACALAR (CANKIRI)                       İlksel
2022.10.14 18:46:09  34.9070   25.7510        5.0      -.-  2.8  -.-   GIRIT ADASI (AKDENIZ)                             İlksel
2022.10.14 16:48:44  39.2290   29.3725        4.1      -.-  1.6  -.-   KARBASAN-HISARCIK (KUTAHYA)                       İlksel
2022.10.14 15:57:14  40.4245   26.1622        5.3      -.-  1.7  -.-   SAROS KORFEZI (EGE DENIZI)                        İlksel
2022.10.14 15:21:22  37.8825   27.1035        5.0      -.-  1.7  -.-   KUSADASI KORFEZI (EGE DENIZI)                     İlksel
2022.10.14 15:05:34  36.1353   33.5242        0.0      -.-  1.1  -.-   YANISLI-GULNAR (MERSIN)                           İlksel
2022.10.14 14:57:54  39.8635   28.7937        0.0      -.-  1.8  -.-   GAZIOLUK-ORHANELI (BURSA)                         İlksel
2022.10.14 14:44:08  38.7537   43.0862       12.3      -.-  1.8  -.-   VAN GOLU                                          İlksel
2022.10.14 13:57:44  37.8980   27.1062        5.0      -.-  2.1  -.-   KUSADASI KORFEZI (EGE DENIZI)                     İlksel
2022.10.14 13:28:46  36.2828   33.7288        0.0      -.-  1.1  -.-   KIRTIL-SILIFKE (MERSIN)                           İlksel
2022.10.14 13:21:31  37.8565   29.7368       14.7      -.-  1.1  -.-   DARICILAR-DAZKIRI (AFYONKARAHISAR)                İlksel
2022.10.14 13:11:56  34.2238   25.9073       20.1      -.-  3.1  -.-   GIRIT ADASI ACIKLARI (AKDENIZ)                    İlksel
2022.10.14 12:53:15  38.6262   26.9747        5.0      -.-  1.9  -.-   ILIPINAR-FOCA (IZMIR)                             İlksel
2022.10.14 12:50:08  36.9525   27.8040        5.4      -.-  1.9  -.-   GOKOVA KORFEZI (AKDENIZ)                          İlksel
2022.10.14 12:44:51  37.1902   37.3313        0.0      -.-  1.8  -.-   DULUK-SEHITKAMIL (GAZIANTEP)                      İlksel
2022.10.14 12:25:17  39.7598   29.9518        0.0      -.-  1.5  -.-   YENIDODURGA-BOZUYUK (BILECIK)                     İlksel
2022.10.14 12:13:32  36.6077   36.1870       15.6      -.-  1.2  -.-   ISKENDERUN (HATAY)                                İlksel
2022.10.14 12:07:05  38.1912   32.3207        0.0      -.-  1.1  -.-   LADIK-SARAYONU (KONYA)                            İlksel
2022.10.14 12:04:57  38.5198   34.1923        6.9      -.-  1.9  -.-   BEBEK-(AKSARAY)                                   İlksel
2022.10.14 11:36:21  39.8842   29.9400        4.5      -.-  1.8  -.-   KIZILCAPINAR-BOZUYUK (BILECIK)                    İlksel
2022.10.14 10:37:45  37.1673   37.2218        0.0      -.-  1.5  -.-   YESILCE-SEHITKAMIL (GAZIANTEP)                    İlksel
2022.10.14 10:04:12  34.8630   25.3108        9.2      -.-  2.1  -.-   GIRIT ADASI (AKDENIZ)                             İlksel
2022.10.14 09:56:36  39.0850   27.6172        0.0      -.-  1.8  -.-   CIFTLIK-KIRKAGAC (MANISA)                         İlksel
2022.10.14 09:34:53  37.3970   36.2852        2.0      -.-  1.9  -.-   GOKAHMETLI-ANDIRIN (KAHRAMANMARAS)                İlksel
2022.10.14 08:59:13  35.0933   25.1665        3.2      -.-  3.2  -.-   GIRIT ADASI (AKDENIZ)                             İlksel
2022.10.14 08:49:23  37.8102   29.7583        6.9      -.-  2.0  -.-   GEMIS-CARDAK (DENIZLI)                            İlksel
2022.10.14 07:51:24  35.5243   27.1780       13.7      -.-  2.8  -.-   AKDENIZ                                           İlksel
2022.10.14 07:36:17  37.8950   27.1348        7.2      -.-  2.1  -.-   KUSADASI KORFEZI (EGE DENIZI)                     İlksel
2022.10.14 06:59:15  38.7893   44.2512        5.0      -.-  2.4  -.-   YUKARITULGALI-OZALP (VAN)                         İlksel
2022.10.14 06:48:02  37.3070   36.2683        8.0      -.-  1.6  -.-   CERCIOGLU-DUZICI (OSMANIYE)                       İlksel
2022.10.14 06:34:29  37.0468   28.3890       11.8      -.-  1.5  -.-   ATAKOY-ULA (MUGLA)                                İlksel
2022.10.14 06:17:24  37.6357   32.0702        5.4      -.-  1.8  -.-   KOZLU-SEYDISEHIR (KONYA)                          İlksel
2022.10.14 05:17:11  38.9907   29.8348        5.3      -.-  1.7  -.-   SARAYCIK-ALTINTAS (KUTAHYA)                       İlksel
2022.10.14 05:16:06  37.7485   27.0267        5.0      -.-  1.4  -.-   SISAM ADASI (EGE DENIZI)                          İlksel
2022.10.14 04:40:44  38.0073   29.2233       10.3      -.-  1.3  -.-   KURTLUCA-(DENIZLI)                                İlksel
2022.10.14 04:29:03  37.8817   26.9952       15.6      -.-  1.5  -.-   KUSADASI KORFEZI (EGE DENIZI)                     İlksel
2022.10.14 04:13:39  35.5338   27.2093       10.2      -.-  2.5  -.-   AKDENIZ                                           İlksel
2022.10.14 04:09:53  34.6792   33.2293       19.2      -.-  1.7  -.-   AKDENIZ                                           İlksel
2022.10.14 03:31:46  37.9715   27.1582        1.5      -.-  1.4  -.-   KUSADASI KORFEZI (EGE DENIZI)                     İlksel
2022.10.14 02:43:39  38.9565   26.7240        1.4      -.-  1.3  -.-   DENIZKOY-DIKILI (IZMIR)                           İlksel
2022.10.14 02:21:35  37.0725   27.6735       14.6      -.-  1.2  -.-   YENIKOY-BODRUM (MUGLA)                            İlksel
2022.10.14 02:05:08  34.7142   27.3038       10.8      -.-  2.8  -.-   GIRIT ADASI ACIKLARI (AKDENIZ)                    İlksel
2022.10.14 01:15:41  37.9070   26.7910       10.4      -.-  1.6  -.-   EGE DENIZI                                        İlksel
2022.10.14 01:07:29  40.1613   27.4038        7.4      -.-  1.6  -.-   TAHTALI-GONEN (BALIKESIR)                         İlksel
2022.10.14 00:53:28  40.8202   28.1973       13.4      -.-  2.0  -.-   SILIVRI ACIKLARI-ISTANBUL (MARMARA DENIZI)        İlksel
2022.10.14 00:12:23  36.9832   39.1268        6.3      -.-  2.1  -.-   BAKISLAR-(SANLIURFA)                              İlksel
2022.10.13 22:41:50  37.3388   36.2802        5.1      -.-  2.0  -.-   CERCIOGLU-DUZICI (OSMANIYE)                       İlksel
2022.10.13 21:36:17  39.8987   43.0243        3.6      -.-  1.9  -.-   GUVENLI-(AGRI)                                    İlksel
2022.10.13 21:32:21  40.8163   42.7870        7.8      -.-  1.9  -.-   KUCUKALTINBULAK-GOLE (ARDAHAN)                    İlksel
2022.10.13 20:35:36  36.2518   27.8022        7.9      -.-  1.6  -.-   AKDENIZ                                           İlksel
2022.10.13 19:06:46  39.3597   33.0860       15.5      -.-  1.7  -.-   YAYLALIOZU-BALA (ANKARA)                          İlksel
2022.10.13 19:00:07  38.0033   27.1673       19.9      -.-  1.5  -.-   CILE-MENDERES (IZMIR)                             İlksel
2022.10.13 18:21:11  37.2885   36.2962       14.2      -.-  1.6  -.-   OLUKLU-DUZICI (OSMANIYE)                          İlksel
2022.10.13 17:55:22  40.2780   31.7952       11.2      -.-  1.6  -.-   NUHHOCA-BEYPAZARI (ANKARA)                        İlksel
2022.10.13 17:27:20  40.3598   25.7157        9.9      -.-  2.3  -.-   EGE DENIZI                                        İlksel
2022.10.13 17:25:51  40.2122   27.7473        8.2      -.-  3.1  -.-   BUGDAYLI-GONEN (BALIKESIR)                        İlksel
2022.10.13 17:25:32  40.2167   27.7687        9.6      -.-  3.3  -.-   BUGDAYLI-GONEN (BALIKESIR)                        İlksel
2022.10.13 16:30:01  36.4027   34.2030        0.0      -.-  1.8  -.-   KIZKALESI-ERDEMLI (MERSIN)                        İlksel
2022.10.13 16:11:48  38.8468   26.7813        7.2      -.-  2.8  -.-   CANDARLI KORFEZI (EGE DENIZI)                     REVIZE01   (2022.10.13 16:11:48)
2022.10.13 15:20:14  36.1578   33.5372        0.0      -.-  1.2  -.-   BUYUKECELI-GULNAR (MERSIN)                        İlksel
2022.10.13 15:07:01  40.0010   42.3597        4.8      -.-  1.8  -.-   KEMERLI-HORASAN (ERZURUM)                         İlksel
2022.10.13 15:02:07  40.0798   30.0702        4.7      -.-  1.4  -.-   KIZILDAMLAR-(BILECIK)                             İlksel
2022.10.13 15:00:52  38.7395   31.3650        5.1      -.-  1.5  -.-   CUKURCAK-SULTANDAGI (AFYONKARAHISAR)              İlksel
2022.10.13 13:13:46  37.8073   29.6927       25.5      -.-  1.4  -.-   CARDAK (DENIZLI)                                  İlksel
2022.10.13 13:08:32  39.9165   28.9097        0.0      -.-  1.8  -.-   GIRENCIK-ORHANELI (BURSA)                         İlksel
2022.10.13 13:02:32  36.2873   33.7348        0.0      -.-  1.0  -.-   KIRTIL-SILIFKE (MERSIN)                           İlksel
2022.10.13 12:59:32  40.5792   35.0273        5.4      -.-  2.3  -.-   PANCARLIK-(CORUM)                                 İlksel
2022.10.13 12:57:03  39.5953   28.5712        9.7      -.-  2.2  -.-   SELIMAGA-DURSUNBEY (BALIKESIR)                    İlksel
2022.10.13 12:48:48  38.1420   32.6802        0.0      -.-  1.1  -.-   GUVENC-SELCUKLU (KONYA)                           İlksel
2022.10.13 12:15:57  35.1660   33.8033       11.2      -.-  1.7  -.-   KIBRIS-TUZLA                                      İlksel
2022.10.13 12:07:59  37.3490   40.5087       20.1      -.-  2.0  -.-   ULUTAS-MAZIDAGI (MARDIN)                          REVIZE01   (2022.10.13 12:07:59)
2022.10.13 10:34:00  37.0807   28.4333       25.1      -.-  1.0  -.-   YESILOVA-ULA (MUGLA)                              İlksel
2022.10.13 09:46:58  40.4870   35.0702       10.8      -.-  1.8  -.-   KUTLUCA-(CORUM)                                   İlksel
2022.10.13 09:32:16  37.9987   27.1620       11.0      -.-  1.2  -.-   KUSADASI KORFEZI (EGE DENIZI)                     İlksel
